#{"t_start": 1674047624.6019158, "env_id": null}
r,l,t
1.937,7,29.935214
1.937,7,29.967863
1.883,13,30.028471
1.937,7,30.061337
1.856,16,30.135024
1.919,9,30.178157
1.865,15,30.249392
1.847,17,30.328942
1.91,10,30.375628
1.865,15,30.444086
1.883,13,30.503747
-0.9,100,30.951755
1.937,7,30.984419
1.883,13,31.044
1.91,10,31.090233
1.937,7,31.122902
1.901,11,31.173396
-0.9,100,31.626797
1.919,9,31.668531
1.883,13,31.72827
1.901,11,31.778933
1.901,11,31.829552
1.91,10,31.875621
1.883,13,31.935212
1.883,13,31.99462
1.883,13,32.054047
1.874,14,32.118032
1.919,9,32.159559
1.919,9,32.201142
1.928,8,32.238305
1.946,6,32.266593
1.937,7,32.301411
1.955,5,32.32523
1.928,8,32.362418
1.901,11,32.412877
1.91,10,32.458896
-0.9,100,32.912599
-0.9,100,33.358164
-0.9,100,33.804713
1.874,14,33.869518
-0.9,100,34.320519
1.964,4,34.339784
1.955,5,34.363564
1.946,6,34.391796
1.91,10,34.437914
1.946,6,34.466203
-0.9,100,34.911506
-0.9,100,35.367256
1.919,9,35.409098
-0.9,100,35.855305
1.946,6,35.883712
1.946,6,35.914082
1.91,10,35.96019
1.91,10,36.006394
1.892,12,36.062078
1.91,10,36.108128
1.847,17,36.187401
1.874,14,36.251458
1.919,9,36.294279
1.856,16,36.368018
1.901,11,36.419571
1.883,13,36.481169
1.901,11,36.534176
1.883,13,36.594788
-0.9,100,37.041133
1.883,13,37.100377
1.874,14,37.164294
1.874,14,37.228187
1.865,15,37.296594
1.883,13,37.356405
1.937,7,37.389115
1.883,13,37.448563
1.901,11,37.499148
1.883,13,37.559744
1.883,13,37.619926
1.928,8,37.657551
1.928,8,37.695621
1.937,7,37.728754
1.928,8,37.767225
1.91,10,37.814306
1.946,6,37.842811
1.901,11,37.893554
1.802,22,37.992521
1.901,11,38.042613
1.847,17,38.119318
1.91,10,38.16524
1.901,11,38.215551
-0.9,100,38.664359
1.928,8,38.701582
1.766,26,38.82231
1.919,9,38.864381
1.946,6,38.892792
1.946,6,38.921126
1.955,5,38.945901
1.928,8,38.983682
1.955,5,39.007722
1.955,5,39.032579
1.928,8,39.070481
1.865,15,39.139462
1.919,9,39.180754
1.919,9,39.221997
1.946,6,39.250056
1.919,9,39.291617
1.937,7,39.324345
1.937,7,39.3568
1.955,5,39.380459
1.883,13,39.439434
1.937,7,39.471839
1.676,36,39.634101
1.883,13,39.693539
1.919,9,39.734935
1.892,12,39.789733
1.946,6,39.81767
-0.9,100,40.270958
1.829,19,40.360036
1.811,21,40.455347
1.964,4,40.474304
1.964,4,40.493479
1.64,40,40.673646
1.874,14,40.737363
1.937,7,40.769759
1.721,31,40.909527
1.946,6,40.937531
1.955,5,40.961121
1.955,5,40.984654
1.946,6,41.01296
1.82,20,41.103163
1.874,14,41.166649
1.946,6,41.194639
1.874,14,41.258082
