#{"t_start": 1674041575.6380377, "env_id": null}
r,l,t
-0.9,100,54.202277
1.838,18,54.286158
1.937,7,54.319529
-0.9,100,54.78348
1.937,7,54.818295
1.577,47,55.040411
1.811,21,55.138034
1.586,46,55.350896
1.919,9,55.393674
1.775,25,55.510104
1.685,35,55.67431
-0.9,100,56.138606
-0.9,100,56.603013
1.694,34,56.760586
1.667,37,56.931787
1.928,8,56.96996
1.883,13,57.030872
1.91,10,57.07812
1.928,8,57.116271
1.802,22,57.220321
1.856,16,57.296487
1.919,9,57.340845
-0.9,100,57.803095
1.901,11,57.854848
1.694,34,58.012359
1.721,31,58.156054
-0.9,100,58.617954
1.73,30,58.761075
1.829,19,58.849784
1.883,13,58.910617
1.928,8,58.948648
1.811,21,59.046575
1.91,10,59.093751
1.838,18,59.177662
1.937,7,59.211152
1.946,6,59.240211
1.928,8,59.278232
-0.9,100,59.741269
-0.9,100,60.208729
-0.9,100,60.669032
-0.9,100,61.134708
-0.9,100,61.600769
1.829,19,61.689703
-0.9,100,62.14778
1.964,4,62.167434
1.64,40,62.356032
1.703,33,62.512955
1.838,18,62.597211
1.892,12,62.657201
1.955,5,62.68159
1.883,13,62.742389
1.838,18,62.826473
-0.9,100,63.283759
1.955,5,63.307926
1.955,5,63.332132
1.676,36,63.500607
1.928,8,63.539501
1.847,17,63.620524
1.856,16,63.698575
1.856,16,63.774663
-0.9,100,64.23203
-0.9,100,64.691311
-0.9,100,65.160241
1.901,11,65.212206
1.847,17,65.291125
1.901,11,65.343192
1.883,13,65.403996
1.901,11,65.45591
1.685,35,65.617599
1.586,46,65.829067
1.892,12,65.885471
1.793,23,65.993184
1.883,13,66.0583
1.928,8,66.097195
1.775,25,66.217529
1.901,11,66.270417
1.73,30,66.410114
1.829,19,66.498381
1.883,13,66.559762
1.748,28,66.688915
1.82,20,66.781221
1.82,20,66.873899
1.784,24,66.984818
1.901,11,67.036224
1.883,13,67.09656
1.829,19,67.184788
1.901,11,67.239316
1.856,16,67.314806
1.919,9,67.357821
1.901,11,67.410637
1.622,42,67.608436
1.784,24,67.720102
1.928,8,67.757877
1.919,9,67.80008
1.946,6,67.828716
1.946,6,67.857359
1.865,15,67.927177
1.622,42,68.120746
1.946,6,68.14943
1.955,5,68.173347
1.928,8,68.211175
1.793,23,68.317557
-0.9,100,68.785118
-0.9,100,69.242597
1.946,6,69.271312
1.919,9,69.313612
1.937,7,69.346872
1.937,7,69.379982
1.955,5,69.404113
1.883,13,69.464874
1.937,7,69.498266
1.739,29,69.63419
1.793,23,69.742611
-0.9,100,70.208903
1.892,12,70.264985
-0.9,100,70.724764
1.928,8,70.762732
1.856,16,70.836667
1.847,17,70.915545
1.964,4,70.935
1.964,4,70.95436
1.856,16,71.030095
1.892,12,71.087046
1.937,7,71.12059
1.757,27,71.249972
1.946,6,71.279213
1.955,5,71.303556
1.955,5,71.327998
1.946,6,71.356699
1.919,9,71.398931
1.919,9,71.441177
1.946,6,71.469835
1.919,9,71.51216
1.712,32,71.65998
1.514,54,71.909927
1.91,10,71.956869
1.748,28,72.086179
1.649,39,72.266627
-0.9,100,72.733501
1.802,22,72.835154
1.937,7,72.868427
1.775,25,72.983763
1.937,7,73.016911
1.955,5,73.040843
1.919,9,73.083077
1.937,7,73.116252
1.946,6,73.144903
1.667,37,73.315354
1.955,5,73.339366
1.703,33,73.492313
1.937,7,73.525939
1.757,27,73.654182
1.748,28,73.787175
-0.9,100,74.249737
1.703,33,74.40171
-0.9,100,74.863219
-0.9,100,75.32768
1.847,17,75.406878
1.901,11,75.458608
1.901,11,75.510092
1.757,27,75.634773
1.919,9,75.677275
1.892,12,75.733234
