#{"t_start": 1674047509.3722577, "env_id": null}
r,l,t
-0.9,100,53.14751
1.838,18,53.229373
1.937,7,53.262066
-0.9,100,53.717411
1.937,7,53.750828
1.577,47,53.962836
1.811,21,54.058136
1.568,48,54.274258
1.919,9,54.31601
1.775,25,54.431382
1.685,35,54.58947
-0.9,100,55.047221
-0.9,100,55.49703
1.694,34,55.650657
1.667,37,55.817825
1.928,8,55.855133
1.883,13,55.914666
1.91,10,55.961693
1.928,8,55.999672
1.802,22,56.102255
1.856,16,56.177361
1.919,9,56.220384
-0.9,100,56.672002
1.901,11,56.722754
1.694,34,56.876591
1.721,31,57.017492
-0.9,100,57.470334
1.73,30,57.607322
1.829,19,57.693649
1.883,13,57.753242
1.928,8,57.790401
1.811,21,57.885606
1.91,10,57.931893
1.838,18,58.013773
1.937,7,58.046471
1.946,6,58.074733
1.928,8,58.111951
-0.9,100,58.568192
-0.9,100,59.021704
-0.9,100,59.471036
-0.9,100,59.927219
-0.9,100,60.383262
1.829,19,60.470883
-0.9,100,60.919351
1.964,4,60.938581
1.64,40,61.123017
1.703,33,61.27629
1.838,18,61.358518
1.892,12,61.413635
1.955,5,61.437405
1.883,13,61.496926
1.838,18,61.57953
-0.9,100,62.026858
1.955,5,62.050502
1.955,5,62.074286
1.676,36,62.238081
1.928,8,62.275973
1.847,17,62.354312
1.856,16,62.429173
1.838,18,62.512344
-0.9,100,62.959837
-0.9,100,63.404327
-0.9,100,63.85873
1.901,11,63.909655
1.847,17,63.987246
1.901,11,64.037881
1.883,13,64.09739
1.901,11,64.148033
1.685,35,64.305684
1.586,46,64.512407
1.892,12,64.570897
1.793,23,64.675168
1.883,13,64.735153
1.928,8,64.773023
1.775,25,64.888339
1.901,11,64.94079
1.73,30,65.080262
1.829,19,65.16688
1.883,13,65.226583
1.748,28,65.352942
1.82,20,65.444131
1.82,20,65.535163
1.784,24,65.643684
1.901,11,65.69414
1.883,13,65.753273
1.829,19,65.839518
1.892,12,65.894113
1.856,16,65.96656
1.919,9,66.00905
1.901,11,66.059999
1.622,42,66.254029
1.784,24,66.364139
1.928,8,66.401094
1.919,9,66.442406
1.946,6,66.470441
1.946,6,66.498422
1.865,15,66.566874
1.622,42,66.757113
1.946,6,66.785155
1.955,5,66.808568
1.928,8,66.845507
1.793,23,66.94958
-0.9,100,67.403156
-0.9,100,67.855641
1.946,6,67.883633
1.919,9,67.925231
