#{"t_start": 1674041766.7726436, "env_id": null}
r,l,t
1.901,11,22.535513
1.937,7,22.569091
1.892,12,22.62549
1.919,9,22.668056
1.865,15,22.738196
1.883,13,22.799189
1.91,10,22.846626
1.865,15,22.916714
1.874,14,22.982125
1.901,11,23.033973
1.937,7,23.067433
1.883,13,23.128454
1.91,10,23.17594
1.928,8,23.214835
1.901,11,23.26734
1.901,11,23.319969
1.919,9,23.364277
1.883,13,23.426607
1.901,11,23.480336
1.901,11,23.533215
1.91,10,23.580436
1.892,12,23.636817
1.865,15,23.707886
1.883,13,23.769117
-0.9,100,24.231152
1.928,8,24.269167
1.919,9,24.311812
1.928,8,24.349881
1.946,6,24.378776
1.937,7,24.412135
1.946,6,24.441115
1.937,7,24.475416
1.919,9,24.518452
-0.9,100,24.98217
1.919,9,25.02486
1.928,8,25.062957
1.91,10,25.110584
1.937,7,25.14405
1.937,7,25.177583
1.964,4,25.197288
1.955,5,25.221717
1.946,6,25.250623
1.91,10,25.297922
1.946,6,25.326967
-0.9,100,25.786685
-0.9,100,26.252754
-0.9,100,26.709867
-0.9,100,27.171575
-0.9,100,27.633239
1.946,6,27.662216
1.91,10,27.709375
1.928,8,27.747519
1.91,10,27.795318
1.91,10,27.842512
1.874,14,27.907936
1.865,15,27.978243
1.919,9,28.02087
1.838,18,28.10468
1.901,11,28.156597
1.883,13,28.217423
1.901,11,28.270307
1.883,13,28.332049
1.892,12,28.390857
1.883,13,28.453124
1.874,14,28.521568
1.874,14,28.587984
1.874,14,28.653437
1.883,13,28.715397
1.937,7,28.749029
-0.9,100,29.204952
1.901,11,29.256709
1.883,13,29.3179
1.874,14,29.383601
1.928,8,29.421877
1.928,8,29.459741
1.937,7,29.493459
1.919,9,29.536849
1.919,9,29.57988
1.946,6,29.608926
1.928,8,29.647539
1.883,13,29.70979
1.901,11,29.763535
1.847,17,29.843664
1.919,9,29.886053
1.91,10,29.933217
1.874,14,29.998226
1.928,8,30.036086
1.928,8,30.073965
1.919,9,30.116283
1.937,7,30.14965
1.946,6,30.178403
1.955,5,30.20261
1.928,8,30.240512
1.955,5,30.264686
-0.9,100,30.719114
1.928,8,30.757423
1.919,9,30.800673
1.919,9,30.846898
1.919,9,30.889988
1.946,6,30.919738
1.919,9,30.963133
1.946,6,30.993383
1.937,7,31.027493
1.955,5,31.05189
1.883,13,31.113424
1.937,7,31.146737
1.874,14,31.212264
1.901,11,31.263764
1.919,9,31.306154
1.892,12,31.362199
1.946,6,31.390857
1.928,8,31.428593
1.91,10,31.475522
1.937,7,31.508765
1.964,4,31.528178
1.964,4,31.54767
1.928,8,31.58542
1.91,10,31.632319
1.937,7,31.66551
1.937,7,31.698757
1.946,6,31.727473
1.955,5,31.751724
1.955,5,31.775918
1.955,5,31.79995
1.928,8,31.837708
1.928,8,31.875526
1.946,6,31.904193
1.928,8,31.942039
1.82,20,32.034977
1.892,12,32.092073
1.91,10,32.139714
1.892,12,32.197651
1.883,13,32.260628
1.883,13,32.322419
1.919,9,32.365204
1.937,7,32.39844
1.919,9,32.440783
1.937,7,32.473974
1.946,6,32.502605
1.919,9,32.545005
1.937,7,32.578162
1.937,7,32.611335
1.91,10,32.662162
1.946,6,32.690948
1.937,7,32.724196
1.937,7,32.757447
1.874,14,32.822536
1.892,12,32.878598
1.91,10,32.925462
1.892,12,32.981507
1.874,14,33.046931
1.883,13,33.107465
1.901,11,33.158921
1.901,11,33.210272
1.91,10,33.257306
1.883,13,33.319363
1.919,9,33.363036
1.883,13,33.425486
1.865,15,33.4974
1.901,11,33.550651
1.901,11,33.603159
1.928,8,33.641383
1.874,14,33.707376
1.928,8,33.745138
1.874,14,33.810365
1.883,13,33.871058
1.91,10,33.918408
1.919,9,33.960772
1.919,9,34.003111
1.901,11,34.054708
1.928,8,34.09264
1.919,9,34.134954
1.928,8,34.172951
1.955,5,34.197084
1.964,4,34.216508
1.919,9,34.258954
1.928,8,34.296751
1.937,7,34.329876
1.919,9,34.37229
1.937,7,34.405574
1.928,8,34.443254
1.919,9,34.485579
-0.9,100,34.949391
1.928,8,34.987319
1.919,9,35.029811
1.928,8,35.067721
1.946,6,35.096409
1.937,7,35.129594
1.937,7,35.162984
1.928,8,35.200716
1.955,5,35.224855
1.946,6,35.2535
1.946,6,35.282187
1.937,7,35.31535
1.892,12,35.37138
1.928,8,35.409128
1.892,12,35.465092
1.883,13,35.525726
1.856,16,35.599774
1.892,12,35.655771
1.874,14,35.721197
1.874,14,35.786748
1.91,10,35.83451
1.91,10,35.88205
1.91,10,35.930158
1.883,13,35.992982
1.91,10,36.042088
1.928,8,36.080635
-0.9,100,36.537052
1.937,7,36.570482
1.928,8,36.608187
1.937,7,36.641379
1.91,10,36.688198
1.928,8,36.725908
1.892,12,36.782043
1.937,7,36.815198
1.892,12,36.871333
1.919,9,36.913569
1.919,9,36.958453
1.892,12,37.014444
1.91,10,37.062206
1.865,15,37.133161
1.874,14,37.200408
1.883,13,37.262161
1.856,16,37.338864
1.856,16,37.414016
1.883,13,37.474899
1.892,12,37.530974
1.901,11,37.582536
1.892,12,37.638647
1.901,11,37.690107
1.937,7,37.7233
1.901,11,37.774728
1.928,8,37.812569
1.919,9,37.855012
1.937,7,37.888193
1.928,8,37.926072
1.919,9,37.968424
1.955,5,37.992393
1.946,6,38.021108
1.937,7,38.05433
1.91,10,38.101339
1.901,11,38.152896
1.892,12,38.208972
1.883,13,38.269473
1.901,11,38.322334
1.883,13,38.384285
1.892,12,38.441442
1.838,18,38.528499
1.892,12,38.586459
1.919,9,38.629618
1.865,15,38.70053
1.919,9,38.743004
1.892,12,38.799142
1.892,12,38.855224
1.865,15,38.924996
1.901,11,38.976433
1.901,11,39.027942
-0.9,100,39.483258
1.856,16,39.558173
1.883,13,39.62003
1.928,8,39.658563
1.901,11,39.711255
1.928,8,39.749945
1.892,12,39.808592
1.883,13,39.87025
1.91,10,39.917882
1.928,8,39.955846
1.928,8,39.993571
-0.9,100,40.447391
1.928,8,40.485258
1.955,5,40.509372
1.91,10,40.556221
1.955,5,40.580389
1.946,6,40.609027
-0.9,100,41.07103
1.937,7,41.105083
1.928,8,41.143401
1.946,6,41.17221
1.928,8,41.210055
1.919,9,41.25488
1.955,5,41.278992
1.928,8,41.316931
1.91,10,41.363981
1.892,12,41.420016
1.928,8,41.457814
1.928,8,41.495546
1.892,12,41.551585
1.901,11,41.603052
1.901,11,41.654488
1.901,11,41.705864
1.892,12,41.76203
1.883,13,41.822603
1.874,14,41.88767
1.874,14,41.953024
1.874,14,42.01805
1.928,8,42.05582
1.928,8,42.094498
1.946,6,42.123569
1.856,16,42.198885
1.928,8,42.238224
1.946,6,42.267688
1.865,15,42.340043
1.883,13,42.401785
1.892,12,42.457608
1.901,11,42.50902
1.883,13,42.569977
1.892,12,42.625911
1.955,5,42.650011
1.928,8,42.687905
1.928,8,42.725738
1.919,9,42.76813
1.928,8,42.806119
1.928,8,42.844284
1.856,16,42.918381
1.919,9,42.960759
1.919,9,43.003143
1.874,14,43.068227
1.901,11,43.119589
1.91,10,43.166368
1.901,11,43.217791
1.865,15,43.287461
1.928,8,43.325747
1.91,10,43.373477
1.919,9,43.416328
-0.9,100,43.875744
1.946,6,43.904516
1.919,9,43.946834
1.955,5,43.97101
1.919,9,44.013449
1.937,7,44.046745
1.946,6,44.075419
1.901,11,44.127022
1.883,13,44.187565
1.91,10,44.234488
1.874,14,44.299549
1.892,12,44.355571
1.892,12,44.41152
1.91,10,44.458331
1.91,10,44.50518
1.928,8,44.542989
1.901,11,44.595322
1.919,9,44.638798
1.919,9,44.681855
1.901,11,44.734665
1.901,11,44.787358
1.91,10,44.834875
1.919,9,44.877923
1.919,9,44.920346
1.91,10,44.967182
1.901,11,45.018493
1.883,13,45.079238
1.883,13,45.139732
1.892,12,45.195677
1.874,14,45.260935
1.892,12,45.317125
1.955,5,45.34137
1.937,7,45.374601
1.928,8,45.412381
1.946,6,45.441045
-0.9,100,45.900506
1.901,11,45.952842
1.901,11,46.005874
1.883,13,46.068018
1.91,10,46.116911
1.919,9,46.159878
1.874,14,46.225408
1.874,14,46.290975
1.865,15,46.36049
1.874,14,46.425803
1.892,12,46.481767
1.91,10,46.528713
1.892,12,46.584718
1.874,14,46.649916
1.874,14,46.714984
1.901,11,46.766495
1.901,11,46.818001
1.892,12,46.874073
1.883,13,46.934702
1.919,9,46.976953
1.91,10,47.023951
-0.9,100,47.48889
1.928,8,47.526709
1.901,11,47.578204
-0.9,100,48.032859
1.928,8,48.07039
1.928,8,48.108203
1.919,9,48.150464
1.955,5,48.174556
1.946,6,48.203297
1.946,6,48.23232
1.946,6,48.26092
1.937,7,48.294225
1.91,10,48.341171
1.91,10,48.389233
1.928,8,48.427475
1.919,9,48.470549
1.919,9,48.514488
1.946,6,48.543821
1.964,4,48.563662
1.946,6,48.594279
1.946,6,48.623758
1.928,8,48.662147
1.928,8,48.701175
1.946,6,48.72997
-0.9,100,49.185304
1.964,4,49.204719
1.946,6,49.23337
1.919,9,49.275914
1.937,7,49.309219
1.829,19,49.397119
1.91,10,49.444217
1.901,11,49.495706
1.91,10,49.542604
1.874,14,49.607999
1.928,8,49.646517
1.874,14,49.712821
1.892,12,49.770763
1.892,12,49.830357
1.874,14,49.896665
1.901,11,49.94876
1.892,12,50.004848
1.883,13,50.065856
1.865,15,50.135414
1.883,13,50.19594
1.892,12,50.252029
1.919,9,50.294524
1.91,10,50.341394
1.901,11,50.392876
1.901,11,50.444406
1.901,11,50.495964
1.892,12,50.552042
1.883,13,50.612594
1.919,9,50.654887
