#{"t_start": 1674041875.913214, "env_id": null}
r,l,t
-0.9,100,47.170156
1.937,7,47.203537
1.649,39,47.385824
1.919,9,47.42943
1.919,9,47.472439
1.937,7,47.506571
1.766,26,47.630971
1.919,9,47.67455
1.775,25,47.790737
1.595,45,47.998733
1.874,14,48.064209
-0.9,100,48.526673
1.676,36,48.694408
-0.9,100,49.159071
1.874,14,49.22468
1.883,13,49.285702
1.901,11,49.337375
1.919,9,49.380208
1.415,65,49.679212
1.892,12,49.735629
1.919,9,49.7783
-0.9,100,50.241994
-0.9,100,50.697555
1.604,44,50.900642
1.919,9,50.943397
1.892,12,50.999679
1.883,13,51.06065
1.811,21,51.159457
1.901,11,51.212255
1.928,8,51.250611
1.928,8,51.29008
1.937,7,51.324126
1.829,19,51.415762
1.937,7,51.44977
1.946,6,51.478987
1.775,25,51.594903
1.595,45,51.802145
-0.9,100,52.259646
1.901,11,52.311397
1.91,10,52.358569
1.91,10,52.409319
1.928,8,52.447787
-0.9,100,52.912732
1.964,4,52.932581
1.955,5,52.956932
1.613,43,53.155591
1.91,10,53.202773
1.946,6,53.231698
-0.9,100,53.690615
1.865,15,53.760966
-0.9,100,54.224916
1.928,8,54.263023
1.919,9,54.305692
1.946,6,54.334698
1.604,44,54.537587
1.919,9,54.580183
1.91,10,54.627734
-0.9,100,55.092493
-0.9,100,55.554476
1.793,23,55.661274
1.919,9,55.704202
-0.9,100,56.160569
1.739,29,56.297072
1.757,27,56.426264
1.847,17,56.5067
1.883,13,56.568011
1.883,13,56.628984
1.883,13,56.692291
1.874,14,56.757757
1.856,16,56.832313
1.811,21,56.929718
1.883,13,56.990568
1.676,36,57.15696
1.829,19,57.245124
1.901,11,57.296817
1.514,54,57.547456
-0.9,100,58.009947
1.613,43,58.208339
1.676,36,58.374545
1.928,8,58.41233
1.892,12,58.468285
1.919,9,58.510637
1.919,9,58.552939
1.631,41,58.742387
1.883,13,58.803695
1.847,17,58.884943
1.793,23,58.993991
1.919,9,59.036341
1.901,11,59.087902
1.847,17,59.166963
1.694,34,59.323722
1.586,46,59.534939
1.802,22,59.63685
