#{"t_start": 1674047912.177481, "env_id": null}
r,l,t
1.892,12,57.188921
-0.9,100,57.638021
1.928,8,57.675289
1.802,22,57.774639
-0.9,100,58.23385
1.919,9,58.275552
1.865,15,58.344037
-0.9,100,58.792879
-0.9,100,59.240473
1.919,9,59.28292
1.64,40,59.468947
-0.9,100,59.913213
1.874,14,59.980707
-0.9,100,60.430759
1.46,60,60.706803
1.847,17,60.784832
1.937,7,60.817519
1.892,12,60.872474
1.874,14,60.936287
1.874,14,61.000169
-0.9,100,61.447141
-0.9,100,61.899507
1.847,17,61.978941
1.604,44,62.177865
-0.9,100,62.624507
1.82,20,62.715118
-0.9,100,63.173104
1.55,50,63.400483
-0.9,100,63.848202
-0.9,100,64.301494
1.901,11,64.354169
-0.9,100,64.806867
1.514,54,65.049798
1.775,25,65.163798
1.928,8,65.200832
-0.9,100,65.654401
1.955,5,65.679753
-0.9,100,66.128817
-0.9,100,66.578854
-0.9,100,67.036891
-0.9,100,67.486392
-0.9,100,67.935432
-0.9,100,68.394659
-0.9,100,68.844452
1.829,19,68.930753
1.928,8,68.967724
-0.9,100,69.422953
-0.9,100,69.873409
1.532,52,70.106907
-0.9,100,70.555108
1.937,7,70.588129
1.928,8,70.626988
1.856,16,70.70316
1.865,15,70.772696
1.811,21,70.868108
1.946,6,70.896354
1.658,38,71.067552
-0.9,100,71.516709
-0.9,100,71.973587
1.658,38,72.147131
-0.9,100,72.596056
1.604,44,72.793923
1.829,19,72.884096
-0.9,100,73.34026
1.64,40,73.520474
1.883,13,73.579947
1.424,64,73.867515
1.883,13,73.926849
1.901,11,73.977332
1.865,15,74.045439
1.64,40,74.226221
-0.9,100,74.682098
1.586,46,74.889247
1.874,14,74.953426
1.622,42,75.142883
-0.9,100,75.593572
1.901,11,75.645961
-0.9,100,76.098765
1.874,14,76.162734
1.721,31,76.30279
1.784,24,76.411475
1.757,27,76.533234
1.928,8,76.570196
1.811,21,76.665009
1.658,38,76.838584
1.694,34,76.996983
1.694,34,77.153545
1.901,11,77.203749
1.856,16,77.276248
1.919,9,77.3177
1.91,10,77.363654
1.784,24,77.47183
1.874,14,77.535529
1.802,22,77.634662
1.919,9,77.676087
1.928,8,77.712932
1.946,6,77.740943
1.955,5,77.764497
1.919,9,77.806055
1.856,16,77.878865
-0.9,100,78.331374
1.928,8,78.36854
1.901,11,78.418709
1.793,23,78.522755
1.883,13,78.581841
1.928,8,78.618661
1.91,10,78.664529
1.937,7,78.69693
1.937,7,78.729324
1.955,5,78.752729
1.883,13,78.81185
1.649,39,78.987211
-0.9,100,79.438933
1.631,41,79.626807
1.712,32,79.770786
-0.9,100,80.211151
1.946,6,80.23918
1.928,8,80.276068
1.739,29,80.406915
1.946,6,80.4349
1.964,4,80.453924
1.964,4,80.472925
-0.9,100,80.929843
1.64,40,81.109282
1.865,15,81.177356
1.883,13,81.236406
1.946,6,81.264372
1.955,5,81.288075
1.955,5,81.311686
1.955,5,81.335187
1.928,8,81.372214
1.928,8,81.409177
1.856,16,81.484089
1.838,18,81.565538
1.838,18,81.646857
1.748,28,81.77361
1.694,34,81.930263
-0.9,100,82.379491
1.757,27,82.501013
1.793,23,82.605028
1.739,29,82.735537
1.775,25,82.848603
1.784,24,82.957834
1.937,7,82.990384
1.937,7,83.023071
-0.9,100,83.479191
1.919,9,83.520723
1.946,6,83.548787
1.838,18,83.630024
1.946,6,83.658028
1.712,32,83.801586
1.937,7,83.83399
1.847,17,83.910888
1.856,16,83.983481
1.829,19,84.06953
-0.9,100,84.520393
1.694,34,84.675059
1.784,24,84.783377
1.901,11,84.833772
1.847,17,84.911038
1.748,28,85.03678
1.757,27,85.158597
1.595,45,85.360446
1.694,34,85.513194
-0.9,100,85.972865
1.613,43,86.16634
1.595,45,86.368721
1.919,9,86.410165
1.703,33,86.559006
1.919,9,86.600514
1.676,36,86.762237
1.856,16,86.835739
1.874,14,86.900355
1.919,9,86.942333
1.865,15,87.01333
1.901,11,87.06619
-0.9,100,87.516511
1.919,9,87.557967
1.631,41,87.742159
1.955,5,87.765758
1.964,4,87.784775
1.64,40,87.967021
-0.9,100,88.422361
1.811,21,88.517504
-0.9,100,88.966411
1.937,7,88.998664
1.919,9,89.040051
1.748,28,89.165967
1.595,45,89.369709
1.685,35,89.530099
-0.9,100,89.977743
1.748,28,90.105934
1.928,8,90.142994
1.901,11,90.193167
1.937,7,90.225816
1.802,22,90.324941
1.883,13,90.384578
1.784,24,90.493344
1.892,12,90.548061
1.883,13,90.60834
1.658,38,90.782475
1.928,8,90.821321
-0.9,100,91.273603
-0.9,100,91.721146
-0.9,100,92.179081
-0.9,100,92.629242
-0.9,100,93.079379
1.676,36,93.244142
1.766,26,93.3655
-0.9,100,93.809642
1.838,18,93.891423
-0.9,100,94.341258
1.73,30,94.478983
-0.9,100,94.933881
1.901,11,94.984003
1.937,7,95.016434
1.928,8,95.053256
1.937,7,95.085677
1.91,10,95.131618
1.82,20,95.222084
1.676,36,95.384253
1.937,7,95.416641
1.676,36,95.578294
1.91,10,95.625139
1.847,17,95.703192
1.586,46,95.915792
1.802,22,96.015698
1.865,15,96.08361
-0.9,100,96.532422
1.721,31,96.671896
1.766,26,96.788814
1.856,16,96.861525
1.811,21,96.958021
1.694,34,97.116379
1.901,11,97.167739
1.802,22,97.267878
1.649,39,97.44315
1.703,33,97.591012
1.865,15,97.659189
1.712,32,97.802859
1.667,37,97.97018
1.685,35,98.128117
1.892,12,98.183878
1.64,40,98.36882
1.955,5,98.393059
1.946,6,98.421636
1.937,7,98.454684
1.676,36,98.618747
-0.9,100,99.065488
-0.9,100,99.516951
-0.9,100,99.965197
1.577,47,100.17603
1.703,33,100.324455
-0.9,100,100.772526
1.91,10,100.820422
-0.9,100,101.26598
1.919,9,101.307408
-0.9,100,101.755636
1.919,9,101.796913
-0.9,100,102.253612
-0.9,100,102.702228
-0.9,100,103.153954
1.685,35,103.314993
