#{"t_start": 1674047749.515179, "env_id": null}
r,l,t
1.937,7,24.000148
1.901,11,24.050647
1.937,7,24.083354
1.901,11,24.133818
1.919,9,24.175511
1.865,15,24.243788
1.892,12,24.298848
1.91,10,24.3451
1.865,15,24.413487
1.892,12,24.469359
1.901,11,24.520447
1.928,8,24.557926
1.883,13,24.618807
1.91,10,24.66601
1.928,8,24.705678
1.901,11,24.757105
1.901,11,24.808841
1.919,9,24.850603
1.883,13,24.91008
1.901,11,24.960664
1.901,11,25.011227
1.919,9,25.052953
1.883,13,25.112558
1.883,13,25.173113
1.883,13,25.232822
1.847,17,25.309773
1.928,8,25.346889
1.928,8,25.384054
1.937,7,25.416778
1.946,6,25.44565
1.928,8,25.482781
1.955,5,25.506607
1.937,7,25.539362
1.919,9,25.580931
-0.9,100,26.035835
-0.9,100,26.481982
-0.9,100,26.928523
1.91,10,26.975435
1.928,8,27.013191
1.937,7,27.046089
1.964,4,27.065649
1.955,5,27.08954
1.946,6,27.118775
1.919,9,27.161545
1.946,6,27.190424
1.955,5,27.216358
-0.9,100,27.664929
1.883,13,27.724326
1.883,13,27.783658
1.946,6,27.811879
1.946,6,27.840138
1.91,10,27.886275
1.928,8,27.923437
1.91,10,27.969442
1.91,10,28.015289
1.874,14,28.078983
1.865,15,28.147367
1.919,9,28.189183
1.874,14,28.253868
1.901,11,28.305198
1.883,13,28.365559
1.901,11,28.418215
1.883,13,28.480604
1.901,11,28.532292
1.883,13,28.591949
1.892,12,28.647048
1.874,14,28.710952
1.874,14,28.774943
1.892,12,28.830089
1.937,7,28.862856
1.793,23,28.966741
1.901,11,29.017423
1.883,13,29.076862
1.874,14,29.140749
1.928,8,29.178073
1.928,8,29.214917
1.937,7,29.247321
1.928,8,29.284279
1.919,9,29.325703
1.946,6,29.353734
1.928,8,29.39078
1.883,13,29.454473
1.892,12,29.510128
1.847,17,29.588009
1.919,9,29.630453
1.91,10,29.67724
1.865,15,29.747755
1.928,8,29.786174
1.928,8,29.823692
1.919,9,29.864968
1.919,9,29.906432
1.946,6,29.934515
1.955,5,29.958142
1.928,8,29.995196
1.955,5,30.018951
1.955,5,30.042508
1.928,8,30.079477
1.919,9,30.120847
1.919,9,30.162243
1.919,9,30.203649
1.946,6,30.231694
1.919,9,30.273122
1.937,7,30.305539
1.937,7,30.338139
1.955,5,30.361675
1.874,14,30.425894
1.937,7,30.45874
1.874,14,30.522439
1.901,11,30.573224
1.91,10,30.620113
1.892,12,30.675263
1.946,6,30.703256
1.919,9,30.745243
-0.9,100,31.197066
1.937,7,31.229507
1.964,4,31.248539
1.964,4,31.267528
1.928,8,31.304497
1.91,10,31.350323
1.937,7,31.382825
1.937,7,31.415344
1.946,6,31.443444
1.955,5,31.467124
1.955,5,31.49076
1.955,5,31.514332
1.919,9,31.555573
1.928,8,31.592731
1.946,6,31.620785
1.928,8,31.657867
1.856,16,31.730169
1.892,12,31.784932
1.91,10,31.830964
1.892,12,31.88574
1.883,13,31.94486
1.883,13,32.00458
1.919,9,32.046324
1.937,7,32.079084
1.919,9,32.120477
1.937,7,32.154252
1.955,5,32.17849
1.91,10,32.226029
-0.9,100,32.673945
1.946,6,32.701975
1.928,8,32.738842
1.946,6,32.766853
1.937,7,32.799318
1.928,8,32.836244
1.874,14,32.899756
1.901,11,32.950171
1.901,11,33.000284
1.892,12,33.055043
1.874,14,33.11883
1.883,13,33.178069
1.901,11,33.228249
1.901,11,33.279511
1.91,10,33.325977
1.883,13,33.386043
1.919,9,33.428809
1.892,12,33.485582
1.865,15,33.555368
1.901,11,33.606413
1.901,11,33.656723
1.928,8,33.693791
1.874,14,33.758423
1.928,8,33.795506
1.874,14,33.859311
1.883,13,33.918557
1.91,10,33.964525
1.919,9,34.005906
1.919,9,34.047397
1.901,11,34.097658
1.928,8,34.134582
1.919,9,34.175969
1.928,8,34.213007
1.955,5,34.236642
1.964,4,34.255687
1.919,9,34.29703
1.928,8,34.333999
1.937,7,34.366385
1.919,9,34.40768
1.937,7,34.4402
1.937,7,34.472454
1.919,9,34.514417
-0.9,100,34.965711
1.919,9,35.007094
1.919,9,35.048485
1.928,8,35.085333
1.946,6,35.11351
1.937,7,35.146021
1.937,7,35.17851
1.928,8,35.215397
1.955,5,35.239059
1.946,6,35.267118
1.892,12,35.32171
1.937,7,35.354171
1.892,12,35.408866
1.928,8,35.446738
1.892,12,35.501595
1.883,13,35.560747
1.856,16,35.633327
1.892,12,35.688262
1.874,14,35.751902
1.874,14,35.816621
1.91,10,35.862911
1.91,10,35.909659
1.91,10,35.956784
1.883,13,36.018342
1.91,10,36.064997
1.928,8,36.102551
1.91,10,36.148391
1.937,7,36.180844
1.928,8,36.217779
1.937,7,36.250265
1.91,10,36.296051
1.928,8,36.332957
1.883,13,36.392205
1.937,7,36.424664
1.892,12,36.479314
1.91,10,36.525081
1.919,9,36.566459
1.892,12,36.621213
1.91,10,36.667022
1.865,15,36.734807
1.874,14,36.798617
1.883,13,36.857491
1.856,16,36.930014
1.847,17,37.006955
1.883,13,37.066835
1.892,12,37.121927
1.901,11,37.173372
1.892,12,37.229223
1.901,11,37.281811
1.937,7,37.314841
1.901,11,37.366222
1.928,8,37.40339
1.919,9,37.444896
1.937,7,37.477398
1.928,8,37.5144
1.919,9,37.555899
1.955,5,37.579354
1.946,6,37.607373
1.937,7,37.639861
1.91,10,37.685735
1.901,11,37.736347
1.892,12,37.791268
1.883,13,37.850378
1.901,11,37.900604
1.883,13,37.959734
1.892,12,38.018341
1.91,10,38.064464
1.892,12,38.119184
1.919,9,38.160482
1.865,15,38.228457
1.919,9,38.270264
1.892,12,38.325579
1.892,12,38.381128
1.865,15,38.451225
1.901,11,38.503164
1.901,11,38.554909
1.865,15,38.623773
1.874,14,38.687246
1.883,13,38.746257
1.928,8,38.783246
1.901,11,38.833467
1.919,9,38.874785
1.892,12,38.929589
1.883,13,38.988697
1.928,8,39.025696
1.919,9,39.06718
1.928,8,39.10401
-0.9,100,39.549112
1.928,8,39.586642
1.955,5,39.610512
1.91,10,39.657117
1.955,5,39.681237
1.946,6,39.71028
1.946,6,39.738935
