#{"t_start": 1674041820.6649625, "env_id": null}
r,l,t
1.937,7,24.645194
1.901,11,24.697959
1.937,7,24.731783
1.901,11,24.784279
1.919,9,24.828787
1.865,15,24.902102
1.892,12,24.95992
1.91,10,25.007855
1.865,15,25.077795
1.892,12,25.134145
1.901,11,25.185965
1.928,8,25.223978
1.883,13,25.284835
1.91,10,25.332116
1.928,8,25.370268
1.901,11,25.422107
1.901,11,25.474002
1.919,9,25.516567
1.883,13,25.578036
1.901,11,25.62985
1.901,11,25.681716
1.919,9,25.724316
1.883,13,25.785543
1.883,13,25.846469
1.883,13,25.90752
1.847,17,25.989706
1.928,8,26.02863
1.928,8,26.067639
1.937,7,26.102332
1.946,6,26.131808
1.928,8,26.172225
1.955,5,26.197129
1.937,7,26.231104
1.919,9,26.274193
-0.9,100,26.730926
-0.9,100,27.18751
-0.9,100,27.653192
1.91,10,27.700543
1.928,8,27.738607
1.937,7,27.772071
1.964,4,27.791715
1.955,5,27.816124
1.946,6,27.845037
1.919,9,27.887812
1.946,6,27.916721
1.955,5,27.941069
-0.9,100,28.398771
1.883,13,28.461013
1.883,13,28.522333
1.946,6,28.551904
1.946,6,28.581314
1.91,10,28.629642
1.928,8,28.669443
1.91,10,28.717642
1.91,10,28.765694
1.874,14,28.83131
1.865,15,28.901525
1.919,9,28.944194
1.874,14,29.009657
1.901,11,29.061656
1.883,13,29.122581
1.901,11,29.174475
1.883,13,29.235322
1.901,11,29.287143
1.883,13,29.348527
1.892,12,29.404857
1.874,14,29.470365
1.874,14,29.5359
1.892,12,29.592259
1.937,7,29.625758
1.847,17,29.705909
1.901,11,29.758273
1.883,13,29.820472
1.874,14,29.888192
1.928,8,29.928048
1.928,8,29.966753
1.937,7,30.000577
1.928,8,30.038766
1.919,9,30.08114
1.946,6,30.109874
1.928,8,30.147723
1.883,13,30.208311
1.892,12,30.264709
1.847,17,30.347486
1.919,9,30.389916
1.91,10,30.436803
1.865,15,30.506399
1.928,8,30.544129
1.928,8,30.581966
1.919,9,30.624318
-0.9,100,31.083192
1.946,6,31.113394
1.955,5,31.138399
1.928,8,31.17698
1.955,5,31.201752
1.955,5,31.226372
1.928,8,31.265001
1.919,9,31.307643
1.919,9,31.350068
1.919,9,31.392431
1.946,6,31.421348
1.919,9,31.464096
1.937,7,31.497281
1.937,7,31.530632
1.955,5,31.554768
1.874,14,31.619959
1.937,7,31.653132
1.874,14,31.718233
1.901,11,31.769727
1.91,10,31.81656
1.892,12,31.872561
1.946,6,31.901215
1.919,9,31.943551
-0.9,100,32.402407
1.937,7,32.437191
1.964,4,32.457567
1.964,4,32.477368
1.928,8,32.515851
1.91,10,32.563209
1.937,7,32.596364
1.937,7,32.629548
1.946,6,32.658301
1.955,5,32.6824
1.955,5,32.706579
1.955,5,32.730715
1.919,9,32.772955
1.928,8,32.810807
1.946,6,32.839484
1.928,8,32.877401
1.856,16,32.951712
1.892,12,33.007631
1.91,10,33.054695
1.892,12,33.110818
1.883,13,33.171398
1.883,13,33.232089
1.919,9,33.274445
1.937,7,33.307616
1.919,9,33.349929
1.937,7,33.383183
1.955,5,33.407334
1.91,10,33.454676
-0.9,100,33.921556
1.946,6,33.950306
1.928,8,33.988052
1.946,6,34.016771
1.937,7,34.049958
1.928,8,34.087706
1.874,14,34.152984
1.901,11,34.204615
1.901,11,34.256036
1.892,12,34.312168
1.874,14,34.377418
1.883,13,34.438358
1.901,11,34.489731
1.901,11,34.541121
1.91,10,34.590467
1.883,13,34.650918
1.919,9,34.693254
1.892,12,34.750988
1.865,15,34.822213
1.901,11,34.876042
1.901,11,34.928665
